ts	phase	decision	why	evidence	result
2026-08-25T00:00:00Z	frame	renamed the generated task branch to feat/ask-user-question-tool	the repository requires task branches to use an approved prefix	git branch --show-current	feat/ask-user-question-tool
2026-08-25T00:01:00Z	baseline	ran agent and Studio test suites before feature edits	capture the real starting state before attributing failures to new code	npm test in rhwp-agent and rhwp-studio	blocked by missing node_modules packages
2026-08-25T00:02:00Z	baseline	installed exact lockfile dependencies and reran both suites	remove environment noise before implementation	npm ci; npm test	agent 467/467, Studio 1432/1432 passed
2026-08-24T16:10:00Z	contract	implemented one canonical validated interaction model before transports	provider codecs and MCP must converge on identical bounds, answers, cancellation, and expiry	user-question.mjs plus provider-user-input.mjs	1-4 cards, 2-4 options, stable ids, atomic answers, and sanitized failures
2026-08-24T16:25:00Z	hub	upgraded Studio lifecycle to protocol v4 with a hub-owned blocking controller	questions must survive Studio replacement without becoming a chat message or generic tool row	hub-user-question and reattach integration suites	pending snapshots, replay, idempotent response receipts, Stop, provider loss, and shutdown all settle
2026-08-24T16:40:00Z	fallback	routed ask_user_question directly through the hub with no fixed timeout	Pi and legacy provider versions need indefinite blocking without document-edit accounting	MCP and Pi schema parity tests	direct, planning, and implementing visibility pass; awaiting and switching remain absent
2026-08-24T16:55:00Z	providers	selected native transports before each turn and prohibited mid-turn replay	a question answer belongs to the exact blocked provider request	captured-frame tests for Claude, Codex, Cursor, Grok, and Pi	provider codecs, abort propagation, feature gating, startup-only fallback, and native cancellation pass
2026-08-24T17:00:00Z	security	required a unique provider-emitted root scope ticket for every non-Pi MCP fallback	an inherited RHWP_AGENT_ROLE string cannot prove that a delegated agent is the caller	hub root-scope integration tests	child calls fail ROOT_INTERACTION_REQUIRED and uncorrelated calls fail CALLER_SCOPE_UNKNOWN
2026-08-24T17:01:00Z	security	proved the root scope ticket through a real Cursor startup-to-MCP fallback path	a fail-closed gate also needs a positive proof that authorized legacy calls remain usable	fake Cursor ACP negotiation failure plus streamed root tool event	exact provider event authorizes one matching call and the answer resumes that blocked call
2026-08-24T17:05:00Z	ui	added a composer-attached accessible question drawer and immutable history	blocking input must remain visible and keyboard usable without entering generic activity	Studio source tests and headless browser flow	number shortcuts, Shift+Enter, Other, Back, collapse, plain text, live regions, and retry pass
2026-08-24T17:07:00Z	qa	fixed browser reload session identity and IndexedDB hydration ordering	the first real reload lost the pending card despite unit tests	user-question-flow E2E with real hub and browser	tab-scoped session id plus authoritative owner-thread reclaim preserve card, draft, and active index
2026-08-24T17:09:00Z	qa	fixed resolved-history contrast	the first screenshot showed inherited white text on a white fallback card	visual inspection of 320, 420, and 600 pixel evidence	resolved prompts and answers are readable with explicit text color
2026-08-24T17:12:00Z	qa	gated reference refresh until the hub authorizes the exact session scope	reload briefly queried a transient thread and produced a correct but noisy 403	browser response tracing plus clean rerun	no HTTP errors remain during question reload
2026-08-24T17:15:00Z	live	probed installed native and fallback transports	acceptance requires distinguishing fixture coverage from authenticated live evidence	Codex 0.149, Grok 1.0.5, Claude 2.1.240, Cursor 2026.08.11, Pi 0.84.2	Codex and Grok native passed; Claude org 403; Cursor ACP inconclusive; app Pi unconfigured and deterministic MCP direct/planning passed
2026-08-24T17:17:00Z	verification	ran full automated and interface checks after hardening	large transport and persistence changes need end-to-end evidence	agent test/typecheck, Studio test/build, user-question E2E	agent 517/517, Studio 1445/1445, production build, reload recording, Stop, planning, provider loss, and narrow layouts passed
